DHSID,GPS_Dataset,DHSCC,DHSYEAR,DHSCLUST,SurveyID,All_Population_Count_2005,All_Population_Count_2010,All_Population_Count_2015,Annual_Precipitation_2000,Annual_Precipitation_2005,Annual_Precipitation_2010,Annual_Precipitation_2015,Aridity_2000,Aridity_2005,Aridity_2010,Aridity_2015,BUILT_Population_1990,BUILT_Population_2000,BUILT_Population_2014,Day_Land_Surface_Temp_2000,Day_Land_Surface_Temp_2005,Day_Land_Surface_Temp_2010,Day_Land_Surface_Temp_2015,Diurnal_Temperature_Range_2000,Diurnal_Temperature_Range_2005,Diurnal_Temperature_Range_2010,Diurnal_Temperature_Range_2015,Drought_Episodes,Enhanced_Vegetation_Index_1985,Enhanced_Vegetation_Index_1990,Enhanced_Vegetation_Index_1995,Enhanced_Vegetation_Index_2000,Enhanced_Vegetation_Index_2005,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Frost_Days_2000,Frost_Days_2005,Frost_Days_2010,Frost_Days_2015,Global_Human_Footprint,Gross_Cell_Production,Growing_Season_Length,Irrigation,ITN_Coverage_2005,ITN_Coverage_2010,ITN_Coverage_2015,Land_Surface_Temperature_2000,Land_Surface_Temperature_2005,Land_Surface_Temperature_2010,Land_Surface_Temperature_2015,Livestock_Cattle,Livestock_Chickens,Livestock_Ducks,Livestock_Goats,Livestock_Pigs,Livestock_Sheep,Malaria_Incidence_2000,Malaria_Incidence_2005,Malaria_Incidence_2010,Malaria_Incidence_2015,Malaria_Prevalence_2000,Malaria_Prevalence_2005,Malaria_Prevalence_2010,Malaria_Prevalence_2015,Maximum_Temperature_2000,Maximum_Temperature_2005,Maximum_Temperature_2010,Maximum_Temperature_2015,Mean_Temperature_2000,Mean_Temperature_2005,Mean_Temperature_2010,Mean_Temperature_2015,Minimum_Temperature_2000,Minimum_Temperature_2005,Minimum_Temperature_2010,Minimum_Temperature_2015,Nightlights_Composite,Night_Land_Surface_Temp_2000,Night_Land_Surface_Temp_2005,Night_Land_Surface_Temp_2010,Night_Land_Surface_Temp_2015,PET_2000,PET_2005,PET_2010,PET_2015,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_1985,Rainfall_1990,Rainfall_1995,Rainfall_2000,Rainfall_2005,Rainfall_2010,Rainfall_2015,Slope,SMOD_Population_1990,SMOD_Population_2000,SMOD_Population_2015,Temperature_April,Temperature_August,Temperature_December,Temperature_February,Temperature_January,Temperature_July,Temperature_June,Temperature_March,Temperature_May,Temperature_November,Temperature_October,Temperature_September,Travel_Times_2000,Travel_Times_2015,U5_Population_2000,U5_Population_2005,U5_Population_2010,U5_Population_2015,UN_Population_Count_2000,UN_Population_Count_2005,UN_Population_Count_2010,UN_Population_Count_2015,UN_Population_Density_2000,UN_Population_Density_2005,UN_Population_Density_2010,UN_Population_Density_2015,Wet_Days_2000,Wet_Days_2005,Wet_Days_2010,Wet_Days_2015
GH201700000001,GHGE7IFL,GH,2017.0,1.0,GH2017OTH,14369.984375,16337.234375,18414.62109375,115.4000015258789,119.19166564941406,159.5749969482422,109.375,36.63492202758789,39.511051177978516,52.03532409667969,34.09090805053711,0.2570833100212945,0.30869648191663956,0.328827699025472,-9999,-9999,-9999,-9999,8.208333015441895,7.491666793823242,7.575000286102295,8.091667175292969,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,0.0,0.0,0.0,70.14285714285714,-9999,-9999,0.0,0.03925081119239082,0.10522220116061506,0.5297867500654448,-9999,-9999,-9999,-9999,0.29936769008636477,134.61722412109376,-1.0,4.483366775512695,3.212678909301758,9.477686309814453,0.6316052079200745,0.6508387923240662,0.4462670385837555,0.3869401514530182,0.8448237776756287,0.9015365839004517,0.49630653858184814,0.4136604368686676,31.325000762939453,31.166667938232422,31.641666412353516,31.59166717529297,27.191667556762695,27.399999618530273,27.84166717529297,27.508333206176758,23.116666793823242,23.67500114440918,24.066667556762695,23.5,0.7240539643822647,-9999,-9999,-9999,-9999,3.1500000953674316,3.0166666507720947,3.066666603088379,3.2083334922790527,654.2496829,25881.36277,660.5175118,1831,1796,1902,1860,1851,2252,1568,0.0039496151730418205,2.0,2.0,2.0,27.7822208404541,24.799999237060547,27.175556182861328,27.83333396911621,26.926666259765625,25.459999084472656,26.18000030517578,27.955554962158203,27.322221755981445,27.11111068725586,26.182222366333008,25.455554962158203,249.8,123.0,210.195654296875,238.830517578125,271.5263916015625,306.052734375,665.2095947265625,771.1957397460938,888.4484252929688,1007.8722534179688,77.62191162109374,89.98921508789063,103.67117919921876,117.606494140625,13.525833129882812,13.977499961853027,17.46416664123535,13.427499771118164
GH201700000002,GHGE7IFL,GH,2017.0,2.0,GH2017OTH,35255.3671875,40020.30078125,45110.40625,115.4000015258789,119.19166564941406,159.5749969482422,109.375,36.63492202758789,39.511051177978516,52.03532409667969,34.09090805053711,0.017087109053312843,0.0206082667877425,0.025165684187590187,26.47064208984375,26.34625922309028,26.53757561577691,26.57815890842014,8.208333015441895,7.491666793823242,7.575000286102295,8.091667175292969,-9999,2952.0,2957.777777777778,3079.222222222222,3306.222222222222,3659.777777777778,3805.4444444444443,3719.777777777778,0.0,0.0,0.0,0.0,40.876254180602004,1210.9580078125,12.0,0.0,0.04037814650659532,0.10284006465130878,0.5359542325801859,23.070824517144096,23.440907796223957,23.728880140516495,23.80963643391927,0.19244502426741958,54.43336546266234,-0.9707792207792207,1.8001108541117086,3.954696853439529,3.8073615532416802,0.6448320547739664,0.6598726908365885,0.47927673657735187,0.4351627826690674,0.8648972511291504,0.9044555028279623,0.5438914696375529,0.4767765204111735,31.325000762939453,31.166667938232422,31.641666412353516,31.59166717529297,27.191667556762695,27.399999618530273,27.84166717529297,27.508333206176758,23.116666793823242,23.67500114440918,24.066667556762695,23.5,0.061231722776917206,19.671010335286457,20.53555636935764,20.920186360677082,21.04111056857639,3.1500000953674316,3.0166666507720947,3.066666603088379,3.2083334922790527,3742.722423,19220.20575,5346.853745,1740.75,1885.25,1810.875,1740.0,1805.75,2198.5,1566.25,0.02336651086807251,0.0,0.0,0.0,27.843221028645832,24.75330098470052,27.203999837239582,27.780838012695312,26.93603261311849,25.488108317057293,26.214558919270832,27.940561930338543,27.357330322265625,27.053609212239582,26.170522054036457,25.44892120361328,347.262987012987,149.86688311688312,15.256160960477942,17.29390701593137,19.63056257659314,22.12735364328023,19587.51953125,22708.38671875,26264.30859375,30143.58203125,74.56151075487013,86.44134283685065,99.97531960227273,114.73536424512987,13.525833129882812,13.977499961853027,17.46416664123535,13.427499771118164
GH201700000003,GHGE7IFL,GH,2017.0,3.0,GH2017OTH,32305.001953125,36727.55078125,41397.69921875,115.4000015258789,119.19166564941406,159.5749969482422,109.375,36.63492202758789,39.511051177978516,52.03532409667969,34.09090805053711,0.004437211636574037,0.0051487845759237965,0.011614649526534541,26.813812255859375,26.70364990234375,26.59207763671875,26.9234619140625,8.208333015441895,7.491666793823242,7.575000286102295,8.091667175292969,-9999,3559.4,3534.3,3689.7,3587.1,3724.3,3797.3,3779.9,0.0,0.0,0.0,0.0,30.294277929155314,1210.9580078125,12.0,0.0,0.05979341967595279,0.12946987201983037,0.5671368019290611,22.90535888671875,23.415826416015626,23.531454467773436,23.788290405273436,0.13090143021835618,46.841312585149865,-1.0,1.9489187297769073,1.8555821722794619,4.834630316544619,0.6306003570556641,0.639032491048177,0.4740902582804362,0.40131244659423826,0.8466087341308594,0.8746589660644531,0.5438337961832682,0.4342349052429199,31.325000762939453,31.166667938232422,31.641666412353516,31.59166717529297,27.191667556762695,27.399999618530273,27.84166717529297,27.508333206176758,23.116666793823242,23.67500114440918,24.066667556762695,23.5,0.11311030598295359,18.996908569335936,20.12799987792969,20.47083435058594,20.65312042236328,3.1500000953674316,3.0166666507720947,3.066666603088379,3.2083334922790527,14032.4112,7851.744989,14184.83029,1556.8,1688.9,1641.4,1446.6,1644.5,1951.7,1374.8,0.042769122838324354,0.0,0.0,1.0,27.765499114990234,24.618499755859375,27.153249740600586,27.72249984741211,26.882749557495117,25.368249893188477,26.051498413085938,27.77124786376953,27.195999145507812,26.878250122070312,25.993499755859375,25.24275016784668,280.2806539509537,93.86103542234332,10.500822473744877,11.931343120303962,13.564741290983607,15.289588136099727,24288.72265625,27171.099609375,30303.82421875,33383.33984375,77.21188479223433,86.37475519414168,96.33348944141689,106.12306284059946,13.525833129882812,13.977499961853027,17.46416664123535,13.427499771118164
GH201700000004,GHGE7IFL,GH,2017.0,4.0,GH2017OTH,7938.7158203125,9022.9736328125,10170.3564453125,115.4000015258789,119.19166564941406,159.5749969482422,109.375,36.63492202758789,39.511051177978516,52.03532409667969,34.09090805053711,0.046242496371269225,0.1037474274635315,0.11461702585220337,26.16111183166504,26.239089965820312,25.79222297668457,27.190000534057617,8.208333015441895,7.491666793823242,7.575000286102295,8.091667175292969,-9999,3781.0,3767.0,3792.0,3616.0,3794.0,3852.0,3847.0,0.0,0.0,0.0,0.0,31.714285714285715,1210.9580078125,12,0.0,0.11023581703481063,0.1728869825592697,0.615571320273017,22.6773738861084,23.322046279907227,23.33194351196289,23.795000076293945,0.12263036625725883,44.44447980608259,-1.0,1.7466189520699638,2.0230565752301897,4.0522597176688055,0.6609827280044556,0.6690483093261719,0.5279507040977478,0.46397727727890015,0.9031369090080261,0.9265787601470947,0.6273785829544067,0.5177189111709595,31.325000762939453,31.166667938232422,31.641666412353516,31.59166717529297,27.191667556762695,27.399999618530273,27.84166717529297,27.508333206176758,23.116666793823242,23.67500114440918,24.066667556762695,23.5,0.7344610280004041,19.193635940551758,20.405000686645508,20.871665954589844,20.399999618530273,3.1500000953674316,3.0166666507720947,3.066666603088379,3.2083334922790527,605.1210637,2706.025547,29864.25077,1719,1800,1847,1508,1703,1957,1464,0.046261106218610494,1.0,2.0,2.0,28.125,24.964000701904297,27.222000122070312,27.93400001525879,27.052000045776367,25.64900016784668,26.41499900817871,28.135000228881836,27.644001007080078,27.211999893188477,26.440000534057617,25.715999603271484,276.14285714285717,107.35714285714286,59.32645797729492,67.37431335449219,76.57186889648438,86.30901336669922,851.6846923828125,987.3768920898438,1139.6390380859375,1300.064208984375,71.36763218470982,82.73807198660714,95.49750627790179,108.94222586495536,13.525833129882812,13.977499961853027,17.46416664123535,13.427499771118164
GH201700000005,GHGE7IFL,GH,2017.0,5.0,GH2017OTH,29376.58203125,33398.23046875,37645.03125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.02419838143104071,0.037204093649484855,0.039377340153690606,26.583241780598957,26.28158230251736,26.566329956054688,27.188547770182293,-9999,-9999,-9999,-9999,-9999,3408.222222222222,3362.0,3483.0,3478.1111111111113,3676.6666666666665,3777.6666666666665,3731.3333333333335,-9999,-9999,-9999,-9999,39.16095890410959,1126.4325358072917,12.0,0.0,0.04910507384381158,0.12188086536850555,0.5651138755239006,23.030965169270832,23.357642279730904,23.670479668511284,23.9066162109375,0.24501237058951184,42.024069393382355,-1.0,2.361997118183211,4.0562520743974675,5.207586550245098,0.6101453521034934,0.6166723424738104,0.44629079645330255,0.36558107896284625,0.801393682306463,0.8248412392356179,0.4988128055225719,0.3827272761951793,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3283433237985177,19.478686862521702,20.433703952365452,20.77462938096788,20.624679565429688,-9999,-9999,-9999,-9999,5357.560616,29304.2463,5356.127076,1868.375,1735.125,1732.75,1568.75,1772.5,2076.75,1445.0,0.028241846659412123,0.0,0.0,0.0,27.782066345214844,24.633806228637695,27.37635612487793,27.76434326171875,26.918254852294922,25.48540496826172,26.128971099853516,27.65721321105957,27.091306686401367,26.873741149902344,25.917613983154297,25.15605926513672,246.26973684210526,82.68627450980392,11.229511273412053,12.759301201140065,14.506047053135179,16.3505859375,18285.390625,18603.37890625,18807.966796875,18723.9765625,70.46139705882354,71.68674683415033,72.47510723039215,72.15145654616013,-9999,-9999,-9999,-9999
GH201700000006,GHGE7IFL,GH,2017.0,6.0,GH2017OTH,5183.59423828125,5893.22802734375,6642.58984375,109.56666564941406,112.13333129882812,148.55833435058594,104.56666564941406,34.69129180908203,35.69230651855469,47.412235260009766,32.934383392333984,0.031898132392338345,0.038198930876595635,0.09082499572208949,26.6200008392334,26.378334045410156,26.13909149169922,27.137271881103516,8.233333587646484,7.5,7.583333492279053,8.125,-9999,3277,3112,3380,3381,3392,3505,3428,0.0,0.0,0.0,0.0,37.5,1210.9580078125,12.0,0.0,0.05712196877699336,0.12864962049894035,0.5712531310017801,22.78318214416504,23.325834274291992,23.4720458984375,24.00090980529785,0.13582146167755127,69.04291207449776,-1.0,1.8241540363856725,2.127110617501395,5.552472250802176,0.6183836460113525,0.6276548504829407,0.45210403203964233,0.37253648042678833,0.816469132900238,0.8448989987373352,0.5051056146621704,0.3892661929130554,31.30000114440918,31.108333587646484,31.575000762939453,31.575000762939453,27.166667938232422,27.33333396911621,27.766666412353516,27.483333587646484,23.066667556762695,23.608333587646484,23.991666793823242,23.450000762939453,0.9870514705263335,18.94636344909668,20.273332595825195,20.80500030517578,20.864545822143555,3.1583333015441895,3.1416666507720947,3.133333444595337,3.174999952316284,10684.54497,14114.43551,10690.67005,1494,1679,1628,1416,1626,1956,1379,0.038426995277404785,0.0,0.0,1.0,27.820999145507812,24.625,27.238000869750977,27.78299903869629,26.941999435424805,25.4060001373291,26.090999603271484,27.784000396728516,27.194000244140625,26.902999877929688,25.983999252319336,25.23699951171875,232.57142857142858,77.92857142857143,61.258740234375,69.60398763020834,79.132763671875,89.19501953125,914.575927734375,930.4842529296875,940.715576171875,936.5155029296875,76.20904541015625,77.53463309151786,78.38717215401786,78.03719656808036,14.295832633972168,14.66333293914795,18.13083267211914,14.088333129882812
GH201700000007,GHGE7IFL,GH,2017.0,7.0,GH2017OTH,9127.0322265625,10376.521484375,11695.9638671875,109.56666564941406,112.13333129882812,148.55833435058594,104.56666564941406,34.69129180908203,35.69230651855469,47.412235260009766,32.934383392333984,8.891368449866017e-05,0.0003689647050975244,0.0009962386345561546,26.089643690321182,26.757171630859375,27.13833279079861,27.51711697048611,8.233333587646484,7.5,7.583333492279053,8.125,-9999,3550.1111111111113,3557.0,3607.6666666666665,3596.0,3894.5555555555557,3918.1111111111113,3913.5555555555557,0.0,0.0,0.0,0.0,19.795698924731184,1210.9580078125,12.0,0.0,0.11474082115121406,0.18265758881721647,0.6270715935011754,22.568206787109375,23.193308512369793,23.625462849934895,23.734022352430557,0.10701938342022639,30.920428532426076,-1.0,1.7703384891633065,1.5382434475806452,4.321908274004536,0.6285503251211983,0.6280335017613002,0.5032174927847726,0.41099371228899273,0.8500972475324359,0.8544180733816964,0.5972174235752651,0.4515824999128069,31.30000114440918,31.108333587646484,31.575000762939453,31.575000762939453,27.166667938232422,27.33333396911621,27.766666412353516,27.483333587646484,23.066667556762695,23.608333587646484,23.991666793823242,23.450000762939453,0.0,19.046766493055557,19.629445393880207,20.112592909071182,19.950926038953995,3.1583333015441895,3.1416666507720947,3.133333444595337,3.174999952316284,32874.79932,7043.31653,41945.16552,1575.5,1658.9,1656.9,1441.9,1615.0,1842.8,1412.5,0.4538561092909946,0.0,0.0,0.0,27.54574966430664,24.445751190185547,26.6822509765625,27.44049835205078,26.594501495361328,25.037750244140625,25.807998657226562,27.600749969482422,27.010499954223633,26.63425064086914,25.923749923706055,25.216999053955078,263.44086021505376,242.5268817204301,2.8911265859162127,3.2849836219558926,3.734696972922343,4.209588074229393,21827.03125,22492.55859375,23067.955078125,23335.83984375,68.47898815524194,70.56697328629032,72.37218581989248,73.21262810819893,14.295832633972168,14.66333293914795,18.13083267211914,14.088333129882812
GH201700000008,GHGE7IFL,GH,2017.0,8.0,GH2017OTH,10857.333984375,12343.701171875,13913.2822265625,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.03330039141470926,0.06399276242618672,0.06434421093143218,26.241819381713867,26.064165115356445,25.81041717529297,26.036136627197266,-9999,-9999,-9999,-9999,-9999,2868.0,2876.0,3012.5,3307.0,3913.25,3994.0,3998.25,-9999,-9999,-9999,-9999,29.527918781725887,1131.6590401785713,12.0,0.0,0.03607493002201123,0.10690895882205875,0.543744752037932,23.162273406982422,23.301456451416016,23.4950008392334,23.473278045654297,0.3325016403198242,233.6028125,-1.0,88.41181640625,8.807373657226563,7.066530151367187,0.5548105835914612,0.5582499504089355,0.43617838621139526,0.32187533378601074,0.6929739117622375,0.7086846828460693,0.4829906225204468,0.3222379684448242,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.022612453687309037,20.082727432250977,20.53874969482422,21.179584503173828,20.910417556762695,-9999,-9999,-9999,-9999,2920.93756,64886.15896,2575.024076,1432.0,1279.4,1612.4,1140.6,1433.4,1685.8,1297.0,0.06670158678065233,0.0,0.0,0.0,27.15140151977539,23.981037139892578,26.894329071044922,27.245372772216797,26.424922943115234,24.778785705566406,25.4775390625,27.023447036743164,26.44267463684082,26.386070251464844,25.324966430664062,24.458003997802734,196.81909547738692,60.755,6.869862169322401,7.805740205368193,8.874343720993194,10.002774380221226,29651.580078125,31282.8203125,32796.3671875,33857.234375,175.6828515625,185.3477734375,194.3154296875,200.6009375,-9999,-9999,-9999,-9999
GH201700000009,GHGE7IFL,GH,2017.0,9.0,GH2017OTH,100146.578125,113856.625,128334.234375,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.20555723402235243,0.2448975287543403,0.25799099392361113,30.160303751627605,29.332499186197918,29.379165649414062,29.346583048502605,-9999,-9999,-9999,-9999,-9999,2975.8333333333335,3058.0,3143.8333333333335,3541.8333333333335,4068.0,4052.1666666666665,4041.0,-9999,-9999,-9999,-9999,45.548780487804876,1332.069140625,12.0,2.180873235066732,0.024671070979280632,0.08782520246319493,0.4910745638117048,25.33954366048177,25.22180684407552,25.32361094156901,25.415791829427082,0.2775161284253113,86.80330709586467,-1.0,5.924180568609023,6.256417869625235,9.443471349271617,0.5349135832353071,0.5097485455599698,0.38820058649236505,0.2880393375049938,0.6558404835787687,0.6181028105995872,0.4065389633178711,0.27475571632385254,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.831743594629456,20.518787384033203,21.11111068725586,21.268056233723957,21.485000610351562,-9999,-9999,-9999,-9999,3499.210981,75697.50387,1677.119884,1348.0,1133.3333333333333,1326.1666666666667,982.5,1272.6666666666667,1452.6666666666667,1038.5,0.012228261767409918,0.0,1.0,1.0,27.454989115397137,24.311737060546875,26.96246337890625,27.597551981608074,26.583643595377605,25.085866292317707,25.875272115071613,27.44353485107422,26.908762613932293,26.828542073567707,25.75176493326823,24.932515462239582,90.02631578947368,9.74812030075188,45.07801328989852,51.21897342020295,58.230839915821036,65.63527012223247,130252.671875,165366.234375,209956.515625,263907.96875,576.2010690789474,731.6709938909775,929.1110197368421,1168.016094924812,-9999,-9999,-9999,-9999
GH201700000010,GHGE7IFL,GH,2017.0,10.0,GH2017OTH,14884.162109375,16921.798828125,19073.517578125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.2000120603121244,0.2994087109198937,0.29908690085777867,30.05363655090332,29.3700008392334,29.184999465942383,28.65999984741211,-9999,-9999,-9999,-9999,-9999,1633.0,1617.0,1664.0,3108.0,3942.0,3867.0,3865.0,-9999,-9999,-9999,-9999,46.357142857142854,1332.0692138671875,-9999,0.36531269550323486,0.022121843407695956,0.08282363547865594,0.47494094284537397,25.546363830566406,25.394166946411133,25.459999084472656,25.329999923706055,0.39368128776550293,152.37649972098214,-1.0,10.039252144949776,3.9963765825544084,13.248742239815849,0.5083699822425842,0.4793950021266937,0.3446498513221741,0.2519524395465851,0.6062780022621155,0.5607166290283203,0.34036165475845337,0.22613181173801422,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4.0504511515299475,21.039091110229492,21.418333053588867,21.735000610351562,22.0,-9999,-9999,-9999,-9999,4100.28223,74939.42919,2499.213945,1282,954,1280,915,1161,1301,962,0.006753216364553997,2.0,2.0,3.0,27.630769729614258,24.48653793334961,27.09038543701172,27.769229888916016,26.75,25.251922607421875,26.03653907775879,27.615385055541992,27.075000762939453,27.01730728149414,25.940383911132812,25.06730842590332,75.71428571428571,1.2142857142857142,99.06014811197916,112.555078125,127.96383463541666,144.23527018229166,3099.3955078125,3561.895263671875,4116.146484375,4741.19140625,258.20375279017856,296.73385184151783,342.90761021205356,394.9791782924107,-9999,-9999,-9999,-9999
